,GRM_F30,GRM_F31,GRM_F32,GRM_F33,GRM_F34,GRM_F35,GRM_F40,GRM_F41,GRM_F42,GRM_F51,number,label
0,1,1,3,0,2,1,0,3,1,0,1053,0
1,2,6,12,0,3,2,1,6,1,0,1047,0
2,11,4,40,0,16,8,5,5,2,2,1090,0
3,15,5,49,0,10,7,9,9,8,2,1084,0
4,10,7,73,1,20,14,13,9,4,8,1127,0
5,0,0,0,0,0,0,0,0,0,0,1133,0
6,2,1,10,0,8,5,3,1,1,0,1132,0
7,0,0,0,0,0,0,0,0,0,2,1126,0
8,10,1,30,1,10,10,4,8,2,1,1085,0
9,6,0,37,0,1,4,6,4,4,2,1091,0
10,5,0,23,0,4,2,6,7,2,0,1046,0
11,1,0,8,0,1,1,0,1,0,0,1052,0
12,6,6,31,0,6,4,10,5,1,2,1044,0
13,5,4,22,0,6,7,5,5,1,4,1050,0
14,10,7,33,1,5,7,7,6,5,1,1078,0
15,2,2,21,1,2,4,8,3,0,0,1087,0
16,9,2,29,0,4,2,5,1,5,2,1093,0
17,16,13,126,5,27,14,12,5,8,6,1130,0
18,0,1,5,0,0,0,2,2,0,0,1124,0
19,15,3,37,0,8,8,6,3,4,4,1118,0
20,1,1,9,0,1,1,4,0,0,0,1119,0
21,3,1,17,0,1,1,4,3,1,1,1125,0
22,0,1,4,1,1,0,1,0,0,0,1131,0
23,1,2,10,1,6,3,3,0,1,0,1092,0
24,24,15,72,2,27,22,9,9,9,7,1086,0
25,7,5,27,0,4,5,7,7,4,1,1079,0
26,1,1,3,0,2,2,0,0,0,0,1051,0
27,6,3,14,0,3,4,3,4,2,1,1045,0
28,3,0,24,1,3,6,9,2,1,1,1069,0
29,4,4,22,0,7,6,6,4,2,1,1041,0
30,1,2,20,0,5,0,3,3,0,0,1055,0
31,7,7,17,0,4,4,4,2,3,2,1082,0
32,4,1,10,1,0,2,2,1,2,1,1096,0
33,0,0,11,1,1,2,3,0,0,0,1109,0
34,0,0,0,0,0,0,0,0,0,0,1135,0
35,4,1,24,0,5,3,2,1,2,1,1121,0
36,1,1,9,0,3,0,2,2,0,3,1120,0
37,3,1,7,0,5,0,2,5,1,1,1134,0
38,4,4,13,0,15,2,1,4,3,3,1108,0
39,10,6,65,1,12,9,12,6,6,7,1097,0
40,7,3,22,1,5,3,3,6,2,1,1083,0
41,10,2,44,0,16,11,14,9,6,6,1054,0
42,26,10,96,0,40,31,19,7,11,12,1040,0
43,1,3,14,0,4,1,3,4,1,0,1068,0
44,23,11,81,4,29,24,19,11,8,5,1056,0
45,14,7,28,2,9,7,7,4,3,4,1042,0
46,17,8,74,1,19,14,11,5,6,10,1095,0
47,4,2,24,1,5,5,4,3,2,3,1081,0
48,7,4,16,0,4,1,0,2,3,0,1122,0
49,2,3,7,1,6,1,0,0,1,1,1136,0
50,29,18,88,2,18,29,18,14,12,16,1137,0
51,9,8,39,1,9,14,8,4,5,5,1123,0
52,8,6,30,2,6,6,6,3,3,3,1080,0
53,0,0,20,0,6,0,5,2,0,0,1094,0
54,3,3,12,1,3,6,4,3,1,2,1043,0
55,4,3,18,0,7,5,4,6,3,1,1057,0
56,18,8,39,2,12,20,15,4,12,4,1030,0
57,0,0,1,0,0,0,2,0,0,0,1024,0
58,4,7,24,0,3,3,3,8,3,2,1018,0
59,15,7,31,0,13,13,5,3,6,3,1144,0
60,8,3,49,0,9,4,8,5,2,2,1150,0
61,6,3,26,1,11,7,4,6,3,3,1178,0
62,0,0,0,0,0,0,0,0,0,3,1187,0
63,14,4,47,1,11,6,14,10,1,3,1186,0
64,2,5,25,1,9,6,6,3,1,0,1179,0
65,6,3,27,1,6,7,8,1,1,0,1151,0
66,1,2,3,0,2,0,0,1,0,1,1145,0
67,3,2,14,0,3,2,5,3,2,1,1019,0
68,6,2,16,0,2,3,2,3,2,4,1025,0
69,21,10,63,0,16,15,11,7,12,4,1031,0
70,4,1,14,0,1,5,3,4,2,0,1027,0
71,4,2,20,0,9,4,4,7,2,4,1033,0
72,0,0,0,0,0,0,0,0,0,4,1153,0
73,1,4,14,0,7,5,2,3,0,4,1147,0
74,8,11,64,2,18,12,13,5,2,4,1184,0
75,10,5,47,1,12,15,6,11,2,10,1185,0
76,9,3,19,1,1,5,4,3,2,3,1146,0
77,5,5,24,1,5,12,6,3,5,3,1152,0
78,3,1,16,1,1,3,4,2,1,2,1032,0
79,18,9,49,4,14,4,5,2,2,3,1026,0
80,1,1,4,0,3,1,0,0,1,1,1022,0
81,9,1,35,1,3,5,5,4,2,3,1036,0
82,5,1,8,0,2,2,2,5,1,0,1156,0
83,0,0,0,0,0,0,0,0,0,3,1142,0
84,9,16,59,2,21,20,9,15,4,6,1181,0
85,7,4,39,1,7,7,11,7,4,1,1180,0
86,0,0,0,0,0,0,0,0,0,6,1143,0
87,2,2,10,0,5,2,2,2,0,1,1157,0
88,13,6,50,2,9,10,6,6,6,2,1037,0
89,0,0,1,0,1,0,1,1,0,0,1023,0
90,3,1,9,0,4,4,1,1,1,1,1009,0
91,13,1,23,0,2,1,5,6,3,0,1035,0
92,1,0,1,0,1,0,0,0,0,0,1021,0
93,10,8,69,1,18,12,14,8,4,5,1169,0
94,5,0,19,2,2,4,9,3,1,0,1141,0
95,9,8,86,4,10,10,18,7,4,2,1155,0
96,6,6,17,1,5,5,2,1,2,2,1182,0
97,0,0,0,0,0,0,0,0,0,0,1183,0
98,3,2,24,0,8,5,3,0,2,5,1154,0
99,2,4,31,2,5,7,14,4,2,2,1140,0
100,0,2,3,0,0,0,0,0,0,0,1168,0
101,3,0,2,0,0,1,0,0,1,0,1020,0
102,8,6,27,0,5,6,5,6,0,3,1034,0
103,7,7,36,0,5,9,7,9,2,2,1008,0
104,3,7,23,0,3,4,6,2,1,2,1011,0
105,6,5,35,0,11,7,4,8,5,1,1005,0
106,8,4,19,1,2,3,4,7,3,3,1039,0
107,9,4,34,2,9,17,8,3,5,8,1165,0
108,0,0,0,0,0,0,0,0,0,1,1171,0
109,1,1,15,0,1,7,3,3,1,1,1159,0
110,0,0,0,0,0,0,0,0,0,2,1158,0
111,11,7,66,0,18,8,8,10,5,2,1170,0
112,0,1,4,0,0,0,0,1,0,0,1164,0
113,7,1,23,0,5,5,5,3,3,0,1038,0
114,6,2,17,0,6,1,3,2,2,0,1004,0
115,3,0,14,1,0,0,5,1,1,1,1010,0
116,4,5,20,0,6,9,7,7,1,2,1006,0
117,1,0,12,0,2,1,4,1,0,0,1012,0
118,1,1,23,0,4,3,10,4,0,0,1172,0
119,0,0,0,0,0,0,0,0,0,0,1166,0
120,0,0,2,0,1,2,0,0,0,0,1167,0
121,6,4,24,1,7,7,5,5,3,4,1173,0
122,2,3,32,0,7,5,7,8,2,1,1013,0
123,34,20,153,1,34,45,31,24,14,7,1007,0
124,6,3,26,0,6,8,6,5,2,0,1003,0
125,7,11,39,2,11,15,10,4,3,1,1017,0
126,0,0,0,0,0,0,0,0,0,0,1177,0
127,4,1,14,0,1,2,2,2,1,1,1163,0
128,0,0,0,0,0,0,0,0,0,5,1188,0
129,0,1,4,0,1,3,1,0,0,0,1189,0
130,1,4,18,0,10,2,3,1,1,3,1162,0
131,0,0,0,0,0,0,0,0,0,0,1176,0
132,6,2,21,2,8,9,8,2,2,4,1016,0
133,10,6,28,0,13,13,4,6,4,3,1002,0
134,14,4,47,1,12,19,12,7,2,2,1028,0
135,1,2,11,0,2,3,2,1,1,1,1014,0
136,8,6,54,2,16,17,10,8,5,10,1148,0
137,9,4,25,1,11,12,9,8,4,1,1160,0
138,0,0,0,0,0,0,0,0,0,2,1174,0
139,0,0,6,0,1,1,1,0,0,0,1175,0
140,0,1,4,0,5,0,0,1,0,0,1161,0
